Sleeper,Mapped_Name,Suggested_Fantasy_Pros,Suggested_Value,Confidence,Notes
Noah Short,Noah Short,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Kaidon Salter,Kaidon Salter,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Jake Retzlaff,Jake Retzlaff,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Ja'Mori Maclin,Ja'Mori Maclin,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Max Tomczak,Max Tomczak,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Malik Rutherford,Malik Rutherford,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Ty Pezza,Ty Pezza,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Kobe Prentice,Kobe Prentice,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Gabriel Plascencia,Gabriel Plascencia,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Hayden Large,Hayden Large,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Dominic Richardson,Dominic Richardson,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Camden Brown,Camden Brown,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Luke Drzewiecki,Luke Drzewiecki,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Joseph Manjack,Joseph Manjack,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Cameron Ross,Cameron Ross,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Kole Wilson,Kole Wilson,,,,Review and add to rookies file or fp_sleeper_mapping.txt
TJ Harden,TJ Harden,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Jaden Bradley,Jaden Bradley,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Chris Freeman,Chris Freeman,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Josh Pitsenburger,Josh Pitsenburger,,,,Review and add to rookies file or fp_sleeper_mapping.txt
J. Michael Sturdivant,J. Michael Sturdivant,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Eni Falayi,Eni Falayi,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Isaiah Jacobs,Isaiah Jacobs,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Hank Beatty,Hank Beatty,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Ademola Faleye,Ademola Faleye,,,,Review and add to rookies file or fp_sleeper_mapping.txt
EJ Smith,EJ Smith,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Al-Jay Henderson,Al-Jay Henderson,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Terion Stewart,Terion Stewart,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Ken Seals,Ken Seals,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Raylen Sharpe,Raylen Sharpe,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Jacob Clark,Jacob Clark,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Kansei Matsuzawa,Kansei Matsuzawa,,,,Review and add to rookies file or fp_sleeper_mapping.txt
E.J. Williams,E.J. Williams,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Matt Lauter,Matt Lauter,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Rohan Jones,Rohan Jones,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Laith Marjan,Laith Marjan,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Mark Gronowski,Mark Gronowski,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Romello Brinson,Romello Brinson,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Malik McClain,Malik McClain,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Caullin Lacy,Caullin Lacy,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Tanner Arkin,Tanner Arkin,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Kyle Dixon,Kyle Dixon,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Kevorian Barnes,Kevorian Barnes,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Dominic Zvada,Dominic Zvada,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Cody Hardy,Cody Hardy,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Mekhi Mews,Mekhi Mews,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Will Ferrin,Will Ferrin,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Chase Curtis,Chase Curtis,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Ethan Sanchez,Ethan Sanchez,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Coleman Bennett,Coleman Bennett,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Jack Velling,Jack Velling,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Cortez Braham,Cortez Braham,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Octavian Smith,Octavian Smith,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Dontae McMillan,Dontae McMillan,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Jalen Walthall,Jalen Walthall,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Daniel Sobkowicz,Daniel Sobkowicz,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Treyvhon Saunders,Treyvhon Saunders,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Sean Brown,Sean Brown,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Quentin Moore,Quentin Moore,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Sam Scott,Sam Scott,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Jameson Geers,Jameson Geers,,,,Review and add to rookies file or fp_sleeper_mapping.txt
DeShawn Hanika,DeShawn Hanika,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Levi Wentz,Levi Wentz,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Michael Briscoe,Michael Briscoe,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Corey Rucker,Corey Rucker,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Jacob De Jesus,Jacob De Jesus,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Omari Evans,Omari Evans,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Jaden Nixon,Jaden Nixon,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Elijah Tau-Tolliver,Elijah Tau-Tolliver,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Patrick Gurd,Patrick Gurd,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Xavier Loyd,Xavier Loyd,,,,Review and add to rookies file or fp_sleeper_mapping.txt
Jonathan Brady,Jonathan Brady,,,,Review and add to rookies file or fp_sleeper_mapping.txt
